Sentence,Word,Lemma,Word Frequency,Log Probability
44,se,sebe,1544095,-4.358193268005097
44,vratim,vratiti,27797,-8.37545842399
44,sa,sa,702889,-5.145187540587291
44,posla,posao,23169,-8.557571346939191
44,svratiću,svratiti,156,-13.558285796927029
44,do,do,278762,-6.070028154019341
44,tebe,ti,363,-12.713738969911715
45,upravo,upravo,6683,-9.800819536665495
45,su,biti,5835707,-3.028635822432384
45,mi,mi,14275,-9.041876769652355
45,javili,javiti,4216,-10.261499713955367
45,da,da,836448,-4.971222170477442
45,treba,trebati,34603,-8.156446141687116
45,da,da,836448,-4.971222170477442
45,dođem,doći,36187,-8.111686586882403
45,sutra,sutra,642,-12.143553500486604
46,prelazio,prelaziti,8956,-9.50806282645792
46,je,biti,5835707,-3.028635822432384
46,ulicu,ulica,17653,-8.829480784587282
46,naspram,naspram,812,-11.908641464014886
46,one,oni,144624,-6.726249254138373
46,tek,tek,15459,-8.962195167180232
46,renovirane,renovirati,790,-11.936108858715498
46,buregdzinice,buregdžinica,5,-16.998703891742466
47,dok,dok,81433,-7.300605928935096
47,se,sebe,1544095,-4.358193268005097
47,saginjao,saginjati,13,-16.04319244671503
47,umalo,umalo,10,-16.30555671118252
47,ga,on,372934,-5.778985064906728
47,ne,ne,120507,-6.908678682664645
47,zgazi,zgaziti,43,-14.846941688483003
47,ljubin,Ljubin,1,-18.608141804176565
47,ford,Ford,1,-18.608141804176565
48,vratiću,vratiti,27797,-8.37545842399
48,se,sebe,1544095,-4.358193268005097
48,brzo,brzo,11812,-9.231270561312751
49,ne,ne,120507,-6.908678682664645
49,idem,ići,12309,-9.190055823066269
49,danas,danas,44076,-7.914471108568898
49,u,u,4289454,-3.336471794099499
49,školu,škola,63851,-7.543834281131397
50,prespavaću,prespavati,54,-14.61915775761229
50,ceo,cel,21806,-8.618201363910238
50,dan,dan,79017,-7.330723506004008
51,napisaću,napisati,22745,-8.57604118417246
51,mu,on,372934,-5.778985064906728
51,pismo,pismo,10612,-9.338401088918935
52,krećemo,kretati,10546,-9.34463988408615
52,za,za,769618,-5.054492237343056
52,pet,pet,20983,-8.65667393912187
52,minuta,minuta,8421,-9.569657939146573
53,doćiće,doći,36187,-8.111686586882403
53,nam,mi,14275,-9.041876769652355
53,mirko,Mirko,1,-18.608141804176565
53,na,na,1602609,-4.3209983199920226
53,ručak,ručak,570,-12.262505443347969
54,još,još,79420,-7.325636299491323
54,malo,malo,46780,-7.854930764038395
54,pa,pa,54554,-7.701195488380926
54,će,hteti,80522,-7.31185608618188
54,izbori,izbor,25014,-8.480950857067713
55,sutra,sutra,642,-12.143553500486604
55,će,hteti,80522,-7.31185608618188
55,biti,biti,5835707,-3.028635822432384
55,27,27,9207,-9.48042246088872
55,u,u,4289454,-3.336471794099499
55,hladu,hlad,96,-14.043793612708729
56,doveče,doveč,1,-18.608141804176565
56,je,biti,5835707,-3.028635822432384
56,žurka,žurka,468,-12.459673508258918
56,kod,kod,122791,-6.889902802069503
56,komšija,komšija,760,-11.974823370896189
57,za,za,769618,-5.054492237343056
57,dva,dva,125034,-6.871800824877421
